country,sector,scenario_name,temp_component_raw,drought_component_raw,excess_precip_component_raw,wildfire_component_raw,physical_risk_raw,transition_risk_raw,physical_intensity,transition_intensity,temp_component_scenario,drought_component_scenario,excess_precip_component_scenario,wildfire_component_scenario,transition_component_scenario,raw_shock,shock_index_norm,total_shock,temp_component_share,temp_component_financial_contribution,drought_component_share,drought_component_financial_contribution,excess_precip_component_share,excess_precip_component_financial_contribution,wildfire_component_share,wildfire_component_financial_contribution,transition_component_share,transition_component_financial_contribution,check_sum_financial_contributions,decomposition_error
Germany,transportation,severe_disorderly_transition,0.30786186627479645,0.0,0.5,0.0,0.8078618662747965,0.7,0.0,1.5,0.0,0.0,0.0,0.0,1.0499999999999998,1.0499999999999998,0.6116853932584275,0.2524404494382025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2524404494382025,0.2524404494382025,0.0
Germany,transportation,acute_physical_risk,0.30786186627479645,0.0,0.5,0.0,0.8078618662747965,0.7,1.0,0.0,0.30786186627479645,0.0,0.5,0.0,0.0,0.8078618662747965,0.46357303370786485,0.19615775280898864,0.381082310140972,0.07475224959251113,0.0,0.0,0.618917689859028,0.1214055032164775,0.0,0.0,0.0,0.0,0.19615775280898862,2.7755575615628914e-17
Germany,transportation,combined_transition_physical,0.30786186627479645,0.0,0.5,0.0,0.8078618662747965,0.7,1.0,1.0,0.30786186627479645,0.0,0.5,0.0,0.7,1.5078618662747965,0.8917528089887642,0.3588660674157304,0.20417113341779475,0.07327009172945642,0.0,0.0,0.33159536107591886,0.11899832320261416,0.0,0.0,0.46423350550628634,0.1665976524836598,0.35886606741573035,5.551115123125783e-17
Germany,buildings_real_estate,orderly_transition,0.3848273328434955,0.0,0.8,0.0,1.1848273328434955,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.12233707865168554,0.0664880898876405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0664880898876405,0.0664880898876405,0.0
Germany,buildings_real_estate,disorderly_transition,0.3848273328434955,0.0,0.8,0.0,1.1848273328434955,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2752584269662925,0.12459820224719115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12459820224719115,0.12459820224719115,0.0
Germany,buildings_real_estate,severe_disorderly_transition,0.3848273328434955,0.0,0.8,0.0,1.1848273328434955,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.75,0.75,0.42817977528089934,0.18270831460674175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18270831460674175,0.18270831460674175,0.0
Germany,buildings_real_estate,acute_physical_risk,0.3848273328434955,0.0,0.8,0.0,1.1848273328434955,0.5,1.0,0.0,0.3848273328434955,0.0,0.8,0.0,0.0,1.1848273328434955,0.6941573033707862,0.28377977528089876,0.3247961303525461,0.09217057288355104,0.0,0.0,0.6752038696474539,0.19160920239734774,0.0,0.0,0.0,0.0,0.2837797752808988,-5.551115123125783e-17
Germany,buildings_real_estate,combined_transition_physical,0.3848273328434955,0.0,0.8,0.0,1.1848273328434955,0.5,1.0,1.0,0.3848273328434955,0.0,0.8,0.0,0.5,1.6848273328434955,1.0,0.4,0.2284075794247827,0.09136303176991309,0.0,0.0,0.4748261049693645,0.1899304419877458,0.0,0.0,0.2967663156058528,0.11870652624234113,0.4,0.0
Germany,agriculture,orderly_transition,0.6157237325495929,0.0,0.5,0.0,1.115723732549593,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.15,0.15,0.06116853932584276,0.04324404494382025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04324404494382025,0.04324404494382025,0.0
Germany,agriculture,disorderly_transition,0.6157237325495929,0.0,0.5,0.0,1.115723732549593,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.15292134831460694,0.07811011235955063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07811011235955063,0.07811011235955063,0.0
