country,scenario_name,shock_multiplier,density_label,interbank_liability_scale,x,y,n,spearman_rho
Ukraine,disorderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8247455772201446
Ukraine,disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7134748154869275
Ukraine,disorderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8840864824115484
Ukraine,orderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.3430396727557177
Ukraine,orderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.41043502288265377
Ukraine,orderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4189804095674878
Ukraine,orderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.5130346635241826
Ukraine,orderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.47875182955853995
Ukraine,orderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.5915470071998947
Ukraine,orderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5336229075492599
Ukraine,orderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.652989862817791
Ukraine,severe_disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6259641862444393
Ukraine,severe_disorderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7761440523635984
Ukraine,severe_disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.706274399382867
Ukraine,severe_disorderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.879424151898303
Ukraine,severe_disorderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.759108995182576
Ukraine,severe_disorderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9332888371052245
Ukraine,severe_disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7860948001141983
Ukraine,severe_disorderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9564729151716704
United States of America,acute_physical_risk,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.12432012037075976
United States of America,acute_physical_risk,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.308856493271362
